label,webproyecto,responsables,contacto,institucional,pagina,type,link
Inclusión Y Convivencia Un Proyecto Global En El Ies Rodanas,,,,0,1430,rec,https://youtu.be/nfWGb6KXvRw
Innova CEIP Cella,http://ceipmiguelblascovilatela.catedu.es/wp-content/uploads/2016/03/PROYECTOSINENLACES.pdf,,,0,1753,rec,
Innovando En El Cra Matarranya,,,,1,1378,rec,https://youtu.be/-f-DPEfOAb0
Instalaciones matemáticas en educación infantil,,,,0,1734,rec,https://youtu.be/j4714-dRiUg
La fiesta de cumpleaños,,,,0,1341,rec,https://youtu.be/Q9osa8HrZQs
La Misión De La Pajarita,,,,0,1413,rec,https://youtu.be/k7DlrEBzRso
La sombra del drone,,,,0,1351,rec,https://youtu.be/g7nkIJgjRQE
La vuelta al mundo. Le tour du monde,,Natalia Belsué,,0,1732,rec,https://youtu.be/5JkBh4Gwdi4
Las Tic en el aula:Innovación interacción,,,,0,1350,rec,https://youtu.be/ZbgAcV5WoeU
Línea 54,iesvaldespartera.catedu.es,Cristina Bohanna Pablo,,0,1936,rec,https://youtu.be/eHc2JUgbntg
Le cinema des 5 ans,,,,0,1356,rec,https://youtu.be/K89OBFxlyUs
Lecturas rimadas por Navidad,,Comisión de Biblioteca,,1,1688,rec,https://vimeo.com/165408050
LEER PARA VIVIR,,Jesús Gil Alejandre y Mª Del Rosario Gómez Ortega,,0,1637,rec,Leer para vivir ATECA.pdf
"Leer, escribir y hablar para cambiar",https://leerescribirhablarblog.wordpress.com/,Yolanda Hernández,,0,1749,rec,https://youtu.be/wECiOktoowY
Lipdub - corazón contento,,,,0,1424,rec,https://youtu.be/edAj1fujhJY
LIPDUB FERNANDO EL CATÓLICO,,,,0,1404,rec,https://youtu.be/Q_Txe_bjf-0
Los no libros,https://sites.google.com/site/nolibrosfrancesdearanda/,Mª Teresa Asensio Posadas,,0,1746,rec,https://youtu.be/enk5LxgNBEs
Los sonidos del Reino,,,,1,1441,rec,MEMORIA CONCURSO BUENAS PRACTICAS INFANTIL.pdf
"Los Zapatos, Mucho Más Que Un Juego",,,,0,1372,rec,https://youtu.be/vVDop0g2V3c
Made In Blecua,,,,1,1365,rec,https://youtu.be/KU1kXV4-c3w
"Make a better world, be a better person",https://www.colegioinmaculadaconcepcion.es/,Adrian Cazorro,,1,1939,rec,https://youtu.be/MOoBT2vffK0
Mannequin Challenge Poético,http://poesiaparallevar-ljp.blogspot.com.es/,Juan José Parcero,,0,1884,rec,https://www.youtube.com/watch?v=gS3oeRdUVBY
Marketing Educativo para la Educación de Adultos en el Siglo XXI,http://cpepamiguelhernandezhuesca.catedu.es/,"COORDINADORAS: BELÉN ASO CUELLO, CARMEN PLANA NACENTA Y ANABEL SAMPÉRIZ CORVINOS",,1,1894,rec,https://www.youtube.com/watch?v=ekGVZnNjM1I
Matemáticas ABN,,Coordinadora: Nuria Fernández Rubio,,0,1899,rec,https://youtu.be/wIvJCNN6K3U
Matemáticas para vivir,http://ceipramonsainzdevaranda.catedu.es/,,,0,1783,rec,
Mejora de la significatividad de la relación de las TIC con las asignaturas,,,,0,1361,rec,https://youtu.be/pBshI_uDqEQ
Metodología del aprendizaje servicio,,,,0,1414,rec,https://youtu.be/9g0Xlmgcy4I
Metodologías nuevas en el área de matemáticas,,Sara Anés Sanz,,1,1448,rec,https://sway.com/RYVfl1a8FKEBy3pt
Mi cole es un museo de Aragón,http://micoleesunmuseo.blogspot.com.es,Yolanda Pérez Mauri,,0,1449,rec,https://vimeo.com/147241522
Mi Huerto Ecológico,,,,0,1360,rec,https://youtu.be/mHJsRlWMkyo
Mi pueblo de cine,http://cramatarranya.catedu.es/,,,0,1772,rec,
Mirábilis II. Construyendo la educación inclusiva desde el IES Pedro Laín Entralgo,https://www.facebook.com/redmejorandojuntos/posts/559226344254274,,,0,1770,rec,
Niños sordos,,,,1,1348,rec,https://youtu.be/__nKoZsYgqw
Nos preparamos para la vida,,,,0,1353,rec,https://youtu.be/Yb_RnYKGLx4
Noticias Calasancio,,José Manuel Sancho (tutor del grupo),,0,1661,rec,https://www.youtube.com/watch?v=0ZxLNhCyYYg
Nuestro cole nos emociona,http://nuestrocolenosemociona.blogspot.com.es/,,,0,1897,rec,https://www.youtube.com/watch?v=eFc7eb9MN1Y&amp;feature=youtu.be
"Nuestro país vecino, Francia",,,,0,1363,rec,https://youtu.be/zYsOjWsK4Tw
Nuestros Proyectos,,,,1,1383,rec,https://youtu.be/Eobv-0jw7Fw
Objetivo 2030. Otro mundo es posible,https://sites.google.com/a/iesmonreal.es/objetivo2030/,Berta Peñasco Casinos,,0,1747,rec,https://youtu.be/cY8aYysUu0Y
"Ocho meses, ocho causas",http://ceipalfredomuinos.catedu.es/,,,0,1741,rec,https://youtu.be/w44Ih4_uOXA
One day in the English Class!,,,,1,1394,rec,https://youtu.be/JkZ_BLD4ppQ
Optimización enseñanza de las TIC en Educación Primaria- CEIP San Miguel 2015-16,,León Moreno,,0,1725,rec,https://vimeo.com/181487390
Otra forma de entender el vino,,,,1,1418,rec,https://youtu.be/ipLg-aGbSak
Our projects about animals,,,,0,1390,rec,https://youtu.be/Gdivn5QPGng
Pareja colaborativa en el área de Educación Física,,David Dorta,,0,1751,rec,https://youtu.be/2XgZQe9Bb1c
Pareja pedagógica en el área de Educación Física,,,,0,1358,rec,https://youtu.be/oEKHnY461hw
Parque Goya piensa y crea,,,,0,1375,rec,https://youtu.be/wj5vohG9FXM
"PASEN Y VEAN, LA FUNCIÓN VA A COMENZAR (Cómo lo hicimos)",,,,1,1428,rec,https://youtu.be/4p4TB0j3pZE
"Pasen Y Vean, La Función Va A Comenzar",,,,1,1366,rec,https://youtu.be/T_Wq2Pbems8
PATIOS DINÁMICOS,http://cpfec.blogspot.com.es/,Mesa de Convivencia (una de las que elaboran el Plan Marco del centro).,,0,1788,rec,https://www.youtube.com/watch?v=jMrE_23_JEE
PEEPA. Plan de Educación Emocional Positiva en la Azucarera.,http://www.iesazucarera.es/,Pilar Peris,,0,1779,rec,https://youtu.be/_c5zgHyjvKk
PIBE en IES Cinco Villas,,,,1,1368,rec,https://youtu.be/YBxDxMwIesI
PIBLEA en el GC,,,,1,1402,rec,https://youtu.be/VV0emVh9mgY
"PIBLEA, POLE y otras lenguas",,,,1,1427,rec,https://youtu.be/VV0emVh9mgY
Pido la palabra,,Silvia Guallar,,0,1742,rec,https://youtu.be/AoUbl8GYWA0
Pingües palabras con perros,,,,1,1343,rec,https://youtu.be/PtakH0HvV14
Pirueta,,,,1,1346,rec,https://youtu.be/s0ay8oN2XrE
Pit 1,,,,0,1347,rec,https://youtu.be/iwagbb4tUeg
Poesía para llevar IES SAN ALBERTO MAGNO,,Estela Puyuelo Ortiz,,1,1906,rec,https://youtu.be/kdtni7ISk-k
Poesía siglo XXI. Para una revitalización de la poesía en el aula,https://proyectoinnovacionblog.wordpress.com/,Marta Domínguez,,0,1748,rec,https://youtu.be/5Y2iRO7tUYk
POLE en ESO en inglés,,,,1,1386,rec,https://youtu.be/suF_Z6l-0jQ
Prácticas Innovadoras en Educación Infantil,,,,0,1357,rec,https://youtu.be/cjLragDLUAw
Prevención a través del lenguaje y la música,https://www.youtube.com/watch?v=BGnlzM-ZUqs,Marian Castelló Fernández y J. Susana Pérez Bernal,,0,1743,rec,https://youtu.be/-lzrl-zevNo
Prevención temprana del fracaso escolar desde la atención a la diversidad,,,,1,1452,rec,
Problemas En El Paraíso: ¡Una Aventura Matemática!,,,,0,1359,rec,https://youtu.be/m_TjEAX_Tuw
Programa Bilingüe. Cile 2,,,,1,1398,rec,https://youtu.be/Gtbhx4ectT8
Programa Cantania Palmireno,http://cantaniacaspealcaniz15.blogspot.com.es/,Carmen José Giner Gascón,,1,1689,rec,https://youtu.be/AUjVh_oC8U4
Programa Cantania San Juan de la Peña,,,,1,1337,rec,https://youtu.be/wyHkLyYYNPE
Programa Ciberayudantes,https://alumnosayudantes.wordpress.com,Antonio Martínez Ramos,,1,1444,rec,https://youtu.be/DKWJ2J9ExBo
Programa Ciencia Viva: observación de un eclipse solar,,Beatriz Sanmartín,,1,1649,rec,https://vimeo.com/165407226
Programa de Estimulación del Lenguaje Oral (P.E.L.O),http://analenymarta.wix.com/analenymarta#!programa-estimulacin-lenguaje-/c1quo,Maestra Audición y Lenguaje,,0,1634,rec,https://youtu.be/DLEHo0k-zHE
PROGRAMA: AJEDREZ EN LA ESCUELA EN EL CEIP VIRGEN DE LA PEANA DE ATECA,,Luis M. Valdés Artime y Jesús Gil Alejandre,,1,1662,rec,https://www.youtube.com/watch?v=Z8qS0uAqKAc
Programación y robótica,http://www.colegiolajota.com/#!code2learn/c1mug,José María Pellicer; Elena Carbajosa; David Maqueda,,0,1569,rec,https://youtu.be/7fwmac76hnw
Proyecto Alegría. La abeja Berta y el abuelo Li,http://cofredepiratas.blogspot.com.es/search/label/Proyecto%20Alegría,Martín Pinos Quílez (coordinador),,0,1437,rec,http://innovacion.educa.aragon.es/recursos/proyectoalegria/intro.swf
Proyecto Altas Capacidades Primaria,,Inmaculada Zegri / Antonio López / Cristina Bravo / Miriam Bericat / MªPilar Catalán,,0,1880,rec,https://youtu.be/wtI6jdv0WiI?list=UUw69dIhvMORXzLzRQ1Hu8uQ
Proyecto colaborativo &quot;El blog del cole&quot;,http://ceipvaldespartera.blogspot.com.es/,Daniel Martín Crespo,,0,1702,rec,https://www.youtube.com/watch?v=-ErQ6lNNjoI
Proyecto COPO,http://mapaideas.esy.es/Pagina%20proyecto%20COPO/,"Antonio López Polo (Zaragoza), Carmen Ceamanos (La Almunia), Luis Mur Lalaguna (Monzón)",,0,1836,rec,https://youtu.be/LRIToeEXmew
Proyecto Cultural De Centro,,,,1,1367,rec,https://youtu.be/Btej289ko2M
Proyecto de Aikido en la resolución de conflictos,,,,0,1352,rec,https://youtu.be/5EXnrfkmHEE
Proyecto de Historia en el C.R.A. La Cepa,,Profesores que imparten Ciencias Sociales,,0,1642,rec,https://www.youtube.com/watch?time_continue=6&amp;v=l6BHDxfqeIo
Proyecto de innovación de tiempos escolares CEIP Infanta Elena,,Claustro de Profesores,,0,1876,rec,LiCEIP-INFANTA-ELENA.pdf
Proyecto de Innovación Tiempos Escolares CEIP Castillo Qadrit,https://docs.google.com/viewer?a=v&amp;pid=sites&amp;srcid=ZGVmYXVsdGRvbWFpbnxjb2xlY2FzdGlsbG9xYWRyaXR8Z3g6OTI0NmYwZDQyM2M5NWUy,,,0,1763,rec,https://youtu.be/Xab4H6KoXF4
Proyecto de Innovación Tiempos Escolares CEIP Catalina de Aragón,http://www.ceipcatalinadearagon.es/,,,0,1762,rec,
Proyecto de Innovación Tiempos Escolares CEIP Gloria Arenillas,https://sites.google.com/site/ceipgloriaarenillas/,,,0,1764,rec,https://youtu.be/IpoLxhCHroc
Proyecto de Innovación Tiempos Escolares CEIP Joaquín Costa (Tarazona),http://cpjctara.educa.aragon.es/,,,0,1765,rec,
Proyecto de Innovación Tiempos Escolares CEIP Justicia de Aragón,http://www.colegioeljusticiadearagon.es/,,,0,1755,rec,
Proyecto de Innovación Tiempos Escolares CEIP Mariano Castillo,http://cpmcazar.educa.aragon.es/,,,0,1759,rec,
Proyecto de Innovación Tiempos Escolares CEIP Montecanal,http://colegiomontecanal.es/,,,0,1766,rec,
Proyecto de Innovación Tiempos Escolares CEIP Parque Goya,http://cppgozar.educa.aragon.es/TIEMPOSESCOLARES.htm,,,0,1767,rec,
Proyecto de Innovación Tiempos Escolares CEIP Pierres Vedel,https://sites.google.com/site/colegiopierresvedel/,,,0,1756,rec,
Proyecto de Innovación Tiempos Escolares Colegio Cantín y Gamboa,http://cantinygamboa.es/proyecto-organizacion-tiempos-escolares/,,,0,1768,rec,https://www.youtube.com/watch?v=kyWQFA7Qobc
Proyecto de Innovación Tiempos Escolares CRA Turia,,,,0,1758,rec,
Proyecto de Reciclaje del Colegio El Buen Pastor,,Profesores del departamento de Ciencias y de Ed. Infantil.,,0,1694,rec,https://youtu.be/AS8f2LZcJKM
Proyecto Genios,,Rosa Llorente García,,0,1500,rec,https://www.youtube.com/watch?v=eWXiXTWYzRE
Proyecto Global &quot;Entre Todos&quot;,,,,1,1355,rec,https://youtu.be/nk-1nVxYrzc
Proyecto innovador Cuarte III,,,,0,1618,rec,https://youtu.be/YGOmRutLiUg
Proyecto musical: Tu nombre bajo mi piel,www.elbuenpastorzaragoza.net,"José Antonio Ruiz, Maite Abadía, Lourdes Mallada, Silvia Pérez, Lourdes Alhajas y José Miguel García",,0,1917,rec,https://www.youtube.com/watch?v=sOjY8jEzYvM
Proyecto POLE,http://centroalaun.catedu.es/,ROSANA CIRIA PEREZ,,0,1700,rec,PERIÓDICO DIGITAL.pdf
Proyecto POLE: Aprendizaje Servicio (APS) bachillerato- infantil-primaria,,"MIRIAN CANTIN RUIZ; INMACULADA ZEGRÍ PLANA -; MARIA ANGELES GIL MONTALBAN,RODRIGO MUÑOZ ACEVEDO",,0,1825,rec,Proyecto POLE Salesianos.JPEG
Proyecto Sorolla en 2º primaria,,,,0,1401,rec,https://youtu.be/uerrMZbwMn8
Proyecto Versicos,http://nochedeluz.blogspot.com.es/p/han-colaborado.html,Francho Lafuente ; Jesús Guallar,,0,1728,rec,https://youtu.be/oCv2pItDpQc
PROYECTO YDHEA Salesianos,,,,1,1442,rec,https://youtu.be/wyPykXmA2p8
Qué emoción,,,,0,1744,rec,https://youtu.be/RMcgBXbPAC4
Que Es Una Efa. Efa La Noria,,,,0,1416,rec,https://youtu.be/eLqHNphzvSM
QUIJOTE SIGLO XXI,https://quijotesigloxxi.wordpress.com/,"Ernesto Viamonte Lucientes, profesor de Lengua y Literatura Españolas",,0,1655,rec,https://quijotesigloxxi.wordpress.com/
Radio Cándido,http://convocatorias.educa.aragon.es/formulario/upload/IEPR2015160053-879452_RADIO%20proyecto%20innov.pdf,,,0,1780,rec,https://youtu.be/z0lSs0GXkHw
Rap de la biblioteca,,,,0,1376,rec,https://youtu.be/fV6Gxwuoe58
"Rapsodas del IES Gallicum de Zuera, con Poesía para llevar",http://poesiaparallevar-ljp.blogspot.com.es/,Juan José Parcero,,0,1885,rec,https://www.youtube.com/watch?v=9-EmARYtdeA
RecreARTE,http://arteenelrecreo.blogspot.com.es/,,,0,1735,rec,https://youtu.be/y6cJOkEnV7Q
Repensando la Navidad,,,,0,1832,rec,https://youtu.be/O7wJjD95EL8
Resumen proyectos Educación Infantil El Buen Pastor,www.elbuenpastorzaragoza.net,,,0,1918,rec,https://www.youtube.com/watch?v=3aPurAsWK3c
Robótica educativa en Educación Infantil y Primaria,http://elviajedebeebot.blogspot.com.es/p/fase-iii-del-proyecto-colaborativo.html,Domingo Santabárbara Bayo,,1,1455,rec,https://youtu.be/NR9PSuqe6Y4
Robótica en el IES Andalán,,Juan Gonzalvo,,1,1515,rec,https://youtu.be/re7m4URmKeM
Robótica y Programación itinerario EP a ESO,,Isaac M. Pérez Aisa,,0,1635,rec,https://www.youtube.com/watch?v=w7mZJyXISyo
Samsung Smart School,http://colegioferreryracaj.wordpres.com,Conchita Palacio Prádanos,,1,1479,rec,https://www.dropbox.com/s/nv8sgply339zd5m/Presentaci%C3%B3n%20de%20PowerPoint.swf?dl=0
School Radio,https://www.youtube.com/watch?v=BSLoYwKIIN0,,,0,1364,rec,https://youtu.be/x7Wb5izKsco
Semana Cultural,,,,1,1387,rec,https://youtu.be/yG5SBZeUyz4
Semillas de inclusión,,,,1,1338,rec,https://youtu.be/IiWC4Dvm2Gk
Singing a Story,,,,1,1411,rec,https://youtu.be/QS-LZOSOUm4
Structure of matter,,,,0,1405,rec,https://youtu.be/OCLqniGRcbA
Tabletas en infantil,,,,0,1407,rec,https://youtu.be/tMjyMDSm8Jc
TABLETAS EN PRIMARIA,http://zalmates.blogspot.com.es/      http://zalfomates2.blogspot.com.es/,"Todo el equipo docente de 1º y 2º de primaria, junto con el equipo directivo",,1,1907,rec,http://zalfomates2.blogspot.com.es/
Taller de capacidades,,,,0,1453,rec,https://docs.google.com/file/d/0B_Jm8DOkHqDcUnoyVWRKVmstOEk/preview
TALLERES INTERNIVELARES,http://cpfec.blogspot.com.es/,Claustro de profesores del CEIP Fernando el Católico de Zaragoza.,,0,1789,rec,https://www.youtube.com/watch?v=i8EPvzRCSIE&amp;t=11s
Talleres Internivelares CEIP Infanta Elena,,Todo el Claustro de Profesores.,,0,1834,rec,4.jpg
TausteAR,,Sonia Cortés Martín,,0,1696,rec,https://youtu.be/wT2Sy6GntoY
"Te cuido, me enseñas, nos educan",,,,1,1425,rec,https://youtu.be/_YRE863tCbk
Tengo un tesoro en mi voz,http://ceipciudaddezaragoza.catedu.es/proyecto-de-innovacion/,Yolanda A. Castelló,,0,1782,rec,
Territorio de paz. Aprendiendo a convivir.,,,,0,1385,rec,https://youtu.be/B7hHRVdsWVU
Tertulias Radiofónicas IES San Alberto Magno,http://iessanalbertomagno.catedu.es/alumnado-2/tertulias-radiofonicas/,Alfredo Sánchez,,0,1895,rec,http://iessanalbertomagno.catedu.es/alumnado-2/tertulias-radiofonicas/
TEVEO Y DISPLAY,,"GUADALUPE LARDIÉS, RAMÓN DÍA, EVA VARGAS",,0,1654,rec,Aspace.jpg
Todos aportamos. Una propuesta de aprendizaje servicio,,Cristina Barrio Bravo,,0,1733,rec,https://youtu.be/MQibIZ8tmvE
Trabajamos con los 7 sentidos: Intervención desde la perspectiva de intengración sensorial en el CEE Ángel Rivière,,Mª Luisa Marco Bruna,,0,1434,rec,https://youtu.be/2wpaEJky6yQ
TRABAJAMOS JUNTOS EN LA ESCUELA,http://arablogs.catedu.es/blog.php?id_blog=2044,Jesús Gil Alejandre,,1,1636,rec,Pintando_2.jpg
Trabajando el pensamiento creativo y divergente con Lego,,Domingo Santabárbara Bayo,,1,1436,rec,http://www.kizoa.com/embed-26224727-1132559o1l1
"TRADICIONES ANGLOSAJONAS, HALLOWEEN.",,Susana María Alcón Gonzalvo y José Luis Sampériz Cerezo (tutores de 2º ESO),,0,1911,rec,https://youtu.be/lThyjND9Jmg
Tutorización y apadrinamiento lector entre alumnos,,Ester Mayayo,,0,1740,rec,https://youtu.be/bWydE43OOjI
Un día de cine con los alumnos del GC,,Teresa Pérez Hernández,,1,1408,rec,https://youtu.be/8z43p75kTtE
Un día en el CEE San Germán,,,,0,1384,rec,https://youtu.be/sAewXXnthSU
"Un patio de recreo natural, creativo, de juego y aprendizaje",https://www.facebook.com/uncoleunailusion,Carmen Abad; Inma Tena,,1,1508,rec,https://www.youtube.com/watch?v=FFlHnycGidA
UNA TRIBU LECTORA EN EL SAN BRAULIO,http://sanbraulio.blogspot.com.es/,ELENA VIÑERTA SERRANO,,1,1896,rec,https://youtu.be/HrGHcxh94UU
Valoración cognitiva en población geriátrica,,,,1,1362,rec,https://youtu.be/-L-nxMDjBBE
Viajeros y exploradores,https://viajerosyexploradores.wordpress.com/,María Corellano Velázquez. Coordinadora y Profesora del Departamento de Geografía e Historia.,,0,1690,rec,https://www.youtube.com/watch?v=TI4WBzAP1pk
"Video Inglés, cile 1 . 1º Primaria",,,,0,1397,rec,https://youtu.be/OgnxfkPi-fI
VII Jornadas Interdisciplinares (ESO): La profesión como vocación de vida II,,Diego Cabeza,,0,1829,rec,Cartel 01.jpg
VISITA AL TEATRO CHAILLOT DE PARIS,,Nieves Orduna Alonso (profesora de francés del IES Pablo Serrano) y Françoise González (profesora de español en el Collège Victor Hugo de Paris),,1,1938,rec,http://www.iespabloserrano.es/joomla/noticias/119-actividades/748-intecambio-con-el-college-victor-hugo-paris-video-de-la-visita-al-teatro-chaillot
Vivencia de TRES generaciones en TRES momentos diferentes,http://iesfelixdeazara.catedu.es/,,,0,1778,rec,https://youtu.be/-2Ay5BMEjCY
Why do we want to learn english?,,,,0,1389,rec,https://youtu.be/SbvfXDTFgK8
